#Midpoint,#Uncertainty,#type
2454515.525,0.00043,BJD_TDB
2454836.403,0.00028,BJD_TDB
2454840.769,0.00062,BJD_TDB
2455140.91,0.00042,BJD_TDB
2455147.459,0.00043,BJD_TDB
2455163.831,0.00032,BJD_TDB
2455172.561,0.00036,BJD_TDB
2455209.669,0.00046,BJD_TDB
2455210.762,0.00041,BJD_TDB
2455230.407,0.00019,BJD_TDB
2455254.419,0.00043,BJD_TDB
2455494.53,0.00072,BJD_TDB
2455498.896,0.00079,BJD_TDB
2455509.81,0.00037,BJD_TDB
2455510.902,0.00031,BJD_TDB
2455518.541,0.0004,BJD_TDB
2455542.552,0.0004,BJD_TDB
2455542.553,0.00028,BJD_TDB
2455566.564,0.00028,BJD_TDB
2455590.576,0.00068,BJD_TDB
2455598.216,0.00035,BJD_TDB
2455600.398,0.00029,BJD_TDB
2455601.49,0.00024,BJD_TDB
2455603.673,0.00029,BJD_TDB
2455623.318,0.00039,BJD_TDB
2455876.528,0.00027,BJD_TDB
2455887.442,0.00021,BJD_TDB
2455888.533,0.00027,BJD_TDB
2455890.716,0.00024,BJD_TDB
2455903.814,0.00032,BJD_TDB
2455920.184,0.00031,BJD_TDB
2455923.459,0.00022,BJD_TDB
2455946.378,0.00018,BJD_TDB
2455947.47,0.00017,BJD_TDB
2455948.561,0.00033,BJD_TDB
2455951.835,0.00011,BJD_TDB
2455952.927,0.0001,BJD_TDB
2455959.475,0.00017,BJD_TDB
2455960.567,0.00032,BJD_TDB
2455970.389,0.00039,BJD_TDB
2455971.481,0.00035,BJD_TDB
2455982.395,0.00034,BJD_TDB
2455983.487,0.00035,BJD_TDB
2455984.578,0.00032,BJD_TDB
2455985.67,0.00042,BJD_TDB
2455996.584,0.00037,BJD_TDB
2456005.315,0.00037,BJD_TDB
2456006.406,0.00031,BJD_TDB
2456245.427,0.00033,BJD_TDB
2456249.794,0.00039,BJD_TDB
2456273.805,0.0003,BJD_TDB
2456282.536,0.0003,BJD_TDB
2456284.719,0.0003,BJD_TDB
2456297.816,0.0003,BJD_TDB
2456302.182,0.00046,BJD_TDB
2456305.455,0.00024,BJD_TDB
2456319.644,0.00038,BJD_TDB
2456328.376,0.00027,BJD_TDB
2456329.467,0.00029,BJD_TDB
2456604.505,0.00021,BJD_TDB
2456605.596,0.0003,BJD_TDB
2456606.688,0.00033,BJD_TDB
2456607.779,0.00071,BJD_TDB
2456629.607,0.00019,BJD_TDB
2456630.699,0.00043,BJD_TDB
2456654.71,0.00034,BJD_TDB
2456659.076,0.00034,BJD_TDB
2456662.35,0.00019,BJD_TDB
2456663.441,0.00019,BJD_TDB
2456664.533,0.00031,BJD_TDB
2456674.356,0.00028,BJD_TDB
2456677.63,0.00032,BJD_TDB
2456688.544,0.0004,BJD_TDB
2456694.002,0.00029,BJD_TDB
2456703.824,0.00029,BJD_TDB
2456711.464,0.00025,BJD_TDB
2456719.104,0.00034,BJD_TDB
2456721.287,0.00034,BJD_TDB
2456722.378,0.00046,BJD_TDB
2456986.502,0.00043,BJD_TDB
2457010.513,0.00039,BJD_TDB
2457012.696,0.00049,BJD_TDB
2457045.438,0.00046,BJD_TDB
2457046.53,0.00049,BJD_TDB
2457059.627,0.00035,BJD_TDB
2457060.718,0.00036,BJD_TDB
2457067.267,0.00022,BJD_TDB
2457068.358,0.0002,BJD_TDB
2457103.284,0.00031,BJD_TDB
2457345.579,0.00042,BJD_TDB
2457390.327,0.00033,BJD_TDB
2457391.418,0.00033,BJD_TDB
2457426.343,0.00055,BJD_TDB
2457427.435,0.00023,BJD_TDB
2457671.913,0.00035,BJD_TDB
2457706.838,0.00037,BJD_TDB
2457765.775,0.00028,BJD_TDB
2457766.866,0.00039,BJD_TDB
2457776.689,0.00029,BJD_TDB
2457788.695,0.00048,BJD_TDB
2457800.7,0.00032,BJD_TDB
